episode_id,el,plate,led,n_cand,max_eqe,chance,cls_gp,cls_gp_picks,cls_xrd,cls_xrd_picks,fm_prior,fm_prior_picks,fm_xrd,fm_xrd_picks,fm_xrd_nogap,fm_xrd_nogap_picks,fm_xrd_nomace,fm_xrd_nomace_picks
2297_20200218.16201_CA2,Pb,2297,CA2,29,0.02908,0.4641,1.0,14 7 3,0.50458,0 6 13,0.25012,22 12 0,0.87037,9 0 4,0.87037,9 0 4,0.87037,9 0 4
2297_20200218.16201_CA3,Pb,2297,CA3,29,0.03393,0.31867,1.0,14 7 3,0.33903,0 5 12,1.0,22 12 3,0.56097,9 0 4,0.56097,9 0 4,0.56097,9 0 4
2297_20200218.16201_CA4,Pb,2297,CA4,29,0.01177,0.31552,1.0,14 0 3,0.25473,0 5 12,0.64338,12 22 2,1.0,9 0 3,1.0,9 0 3,0.25473,0 5 13
2297_20200302.142608_CA1,Pb,2297,CA1,30,0.07257,0.69567,0.99097,15 20 28,0.47612,0 5 2,0.80587,22 14 0,0.84621,0 5 19,0.84621,0 5 19,0.84621,0 5 19
2297_20200302.142608_CA2,Pb,2297,CA2,30,0.03905,0.53033,0.49553,15 20 29,0.80212,0 5 2,0.5909,22 14 0,0.80212,0 5 2,0.80212,0 5 2,0.80212,0 5 2
2297_20200302.142608_CA3,Pb,2297,CA3,30,0.03496,0.44772,0.32807,15 20 7,0.89639,0 5 2,0.44289,22 14 4,0.89639,0 5 2,0.89639,0 5 2,0.89639,0 5 2
2297_20200302.142608_CA4,Pb,2297,CA4,30,0.02154,0.43321,0.26931,15 20 8,0.9182,0 5 2,0.71345,14 22 3,0.9182,0 5 2,0.9182,0 5 2,0.9182,0 5 2
2298_20200218.144149_CA1,Co,2298,CA1,30,0.08378,0.60506,0.74936,15 18 12,1.0,14 9 0,0.29288,4 19 16,0.42183,24 19 0,1.0,14 19 9,0.70851,24 29 17
2298_20200218.144149_CA2,Co,2298,CA2,30,0.05258,0.43016,0.78621,15 18 12,1.0,14 9 0,0.78621,4 19 15,0.12384,24 19 0,1.0,14 19 9,0.19655,24 29 17
2298_20200218.144149_CA3,Co,2298,CA3,30,0.03689,0.40737,1.0,15 18 12,0.98641,14 9 0,0.11824,4 19 8,0.09104,24 19 0,0.98641,14 19 9,0.11499,24 29 17
