episode_id,el,plate,led,n_cand,max_eqe,chance,cls_gp,cls_gp_picks,cls_xrd,cls_xrd_picks,fm_prior,fm_prior_picks,fm_xrd,fm_xrd_picks,fm_xrd_nogap,fm_xrd_nogap_picks,fm_xrd_nomace,fm_xrd_nomace_picks,low,best_cls
2298_20200218.144149_CA1,Co,2298,CA1,30,0.08378,0.73965,0.74936,15 18 12 8 29,1.0,14 9 0 18 29,0.96818,4 19 16 13 10,0.70851,24 19 0 29 7,1.0,14 19 9 0 29,0.96818,24 29 17 13 10,False,1.0
2298_20200218.162149_CA2,Co,2298,CA2,29,0.05917,0.612,0.92763,14 17 11 5 28,0.92763,0 14 9 23 17,0.73464,3 18 15 12 9,0.73464,19 28 0 7 12,0.92763,14 9 0 18 12,0.92763,23 14 11 17 7,False,0.92763
2298_20200302.142742_CA4,Co,2298,CA4,30,0.46433,0.25181,0.15043,15 12 8 2 20,0.15896,14 9 1 19 23,0.09879,4 20 16 13 29,0.0247,24 29 20 5 17,0.15896,14 19 7 0 22,0.15896,19 15 29 11 7,False,0.15896
2300_20200218.144726_CA1,Zn,2300,CA1,28,0.34284,0.6331,1.0,14 11 8 4 0,0.81527,14 18 10 7 2,1.0,15 0 7 27 10,0.81527,18 13 10 7 2,0.81527,18 13 10 7 2,0.81527,18 13 10 7 2,False,1.0
2300_20200218.144726_CA2,Zn,2300,CA2,28,0.2234,0.1971,0.02458,14 11 8 3 20,0.02952,14 18 10 7 0,0.02952,15 0 7 10 27,1.0,18 13 10 0 6,1.0,18 13 10 0 6,1.0,18 13 10 0 6,False,0.02952
2300_20200218.144726_CA3,Zn,2300,CA3,28,0.00491,0.59133,1.0,14 0 5 9 27,0.44222,14 18 8 2 10,1.0,15 0 7 10 27,1.0,18 13 27 8 1,1.0,18 13 27 8 1,1.0,18 13 27 8 1,True,1.0
3519_20200218.150107_CA3,In,3519,CA3,28,0.04319,0.43139,0.65009,14 11 17 20 25,0.26786,0 7 12 15 19,1.0,15 6 19 22 27,0.26786,0 7 12 15 19,0.26786,0 7 12 15 19,0.26786,0 7 12 15 19,False,0.65009
3519_20200218.16241_CA1,In,3519,CA1,29,0.25559,0.81848,1.0,14 17 10 6 0,0.88922,0 7 11 16 21,0.71983,15 5 19 28 9,0.88922,0 7 11 16 21,0.88922,0 7 11 16 21,0.88922,0 7 11 16 21,False,1.0
3531_20200218.145313_CA2,Bi,3531,CA2,29,0.00075,0.80709,0.84312,14 10 3 17 22,0.68901,9 0 28 20 16,0.85902,13 5 21 28 17,0.81479,0 9 14 17 22,0.85902,0 9 13 16 21,0.68901,0 9 23 28 19,True,0.84312
3531_20200218.145313_CA4,Bi,3531,CA4,29,0.00037,0.61519,0.71585,14 10 4 28 21,0.62295,9 0 23 19 28,0.71585,13 4 21 28 7,0.62295,0 9 13 20 28,0.62295,0 9 13 28 21,0.62295,0 9 23 28 19,True,0.71585
3531_20200218.162319_CA2,Bi,3531,CA2,30,0.00316,0.24425,0.08218,15 29 25 22 19,1.0,10 0 29 24 21,0.08428,14 5 22 25 29,0.11121,0 10 17 21 25,0.11121,0 10 17 22 26,1.0,0 10 29 24 21,True,1.0
4014_20200218.15024_CA3,Ag,4014,CA3,30,0.1832,0.58234,0.69524,15 20 12 0 6,0.51786,19 12 9 29 6,0.67857,9 7 2 29 16,1.0,19 11 14 8 4,1.0,19 11 14 8 4,1.0,19 11 14 8 4,False,0.69524
4014_20200318.204926_CA3,Ag,4014,CA3,29,0.93606,0.35475,1.0,14 20 12 10 0,0.11634,14 28 11 6 2,0.06524,9 2 11 28 15,0.11634,14 28 11 6 2,0.11634,14 28 11 6 2,0.11634,14 28 11 6 2,False,1.0
4014_20200318.204926_CA4,Ag,4014,CA4,29,1.92897,0.27798,1.0,14 20 12 10 0,0.16051,14 28 11 8 5,1.0,9 2 12 14 28,0.16051,14 28 11 8 5,0.16051,14 28 11 8 5,0.16051,14 28 11 8 5,False,1.0
4130_20200218.144235_CA1,Cu,4130,CA1,29,0.12709,0.46855,0.03322,14 11 7 2 20,0.03322,14 9 3 0 11,0.80509,15 12 8 4 28,0.08916,14 9 11 0 21,0.08916,14 9 11 0 21,0.04811,14 10 7 3 18,False,0.03322
4130_20200218.144235_CA2,Cu,4130,CA2,29,0.01885,0.50114,0.58951,14 11 7 20 28,0.15044,14 9 3 0 11,0.1696,15 12 8 4 0,0.16169,14 9 11 0 21,0.16169,14 9 11 0 21,0.58951,14 10 7 28 21,False,0.58951
4130_20200218.163122_CA1,Cu,4130,CA1,30,0.14148,0.46939,0.38229,15 12 19 25 0,0.05314,14 10 6 0 22,0.03671,15 12 5 29 20,0.04122,14 10 7 29 21,0.04122,14 10 7 29 20,0.04122,14 10 7 29 21,False,0.38229
