episode_id,source,chem,plate,n_cand,dims,max_merit,chance,cls_gp,cls_xrd,fm_prior,fm_xrd,fm_xrd_nogap,fm_xrd_nomace,cluster
5406_20200218.143845_CA4,base,Cr-Sb,5406,29,1,0.440420246110982,0.19479,0.06112,0.06082,0.06112,0.06243,0.06243,0.06243,Cr-Sb
5406_20200218.162452_CA2,base,Cr-Sb,5406,28,1,0.0223669623059867,0.67434,0.72573,1.0,0.77612,1.0,1.0,1.0,Cr-Sb
5407_20200218.144415_CA4,base,Cr-Sb,5407,29,1,0.0318133271418621,0.82984,0.8405,0.8405,0.8405,0.91365,0.91365,0.91365,Cr-Sb
5407_20200218.162628_CA1,base,Cr-Sb,5407,28,1,0.134827349613285,0.53639,0.54613,0.29605,0.90807,0.29605,0.29605,0.29605,Cr-Sb
5407_20200218.162628_CA3,base,Cr-Sb,5407,28,1,0.0182493374017568,0.558,0.62827,0.34031,0.24607,0.34031,0.34031,0.34031,Cr-Sb
5415_20200218.143926_CA1,base,Fe-Sb,5415,30,1,0.0766987838044309,0.48919,0.36533,1.0,0.25643,0.31711,0.31711,0.31711,Fe-Sb
5415_20200218.143926_CA2,base,Fe-Sb,5415,30,1,0.108324901098901,0.35957,0.09867,1.0,0.04665,0.02297,0.02297,0.02297,Fe-Sb
5415_20200218.143926_CA4,base,Fe-Sb,5415,30,1,0.0178380060366845,0.45378,0.30733,1.0,0.08944,1.0,1.0,1.0,Fe-Sb
5415_20200218.161125_CA2,base,Fe-Sb,5415,30,1,0.0550046153846154,0.35836,0.09431,1.0,0.09057,0.14418,0.14418,0.14418,Fe-Sb
5415_20200218.161125_CA4,base,Fe-Sb,5415,30,1,0.0129692020338983,0.32182,0.43957,0.62593,0.06617,0.62593,0.62593,0.62593,Fe-Sb
5415_20220623.175729_CA2,base,Fe-Sb,5415,22,1,0.193509507006755,0.46714,0.13642,1.0,0.01917,1.0,1.0,1.0,Fe-Sb
5417_20200218.145212_CA3,base,Sb-Zn,5417,30,1,0.0076034747061829,0.4226,0.38333,0.19861,0.08472,0.38333,0.38333,0.19861,Sb-Zn
5417_20200218.145212_CA4,base,Sb-Zn,5417,30,1,0.0172742047829115,0.19424,0.2375,0.03264,0.05674,0.03264,0.03264,0.0,Sb-Zn
5417_20200218.16281_CA2,base,Sb-Zn,5417,26,1,0.0375415742793792,0.50021,0.87572,0.28473,0.28473,0.87572,0.87572,0.28473,Sb-Zn
5418_20200218.145757_CA2,base,In-Sb,5418,28,1,0.0484445970695971,0.80717,0.7449,0.79568,0.84276,0.79568,0.79568,0.79568,In-Sb
5418_20200218.145757_CA3,base,In-Sb,5418,28,1,0.106543689320388,0.78676,0.79166,0.79166,0.81762,0.79166,0.79166,0.79166,In-Sb
5418_20200218.162858_CA1,base,In-Sb,5418,30,1,0.42913201224083,0.53431,0.44543,0.7024,1.0,0.93105,0.93105,0.93105,In-Sb
5418_20200218.162858_CA3,base,In-Sb,5418,30,1,0.0057327785483125,0.38457,0.17167,0.24167,0.095,0.24167,0.24167,0.24167,In-Sb
5435_20200218.163032_CA3,base,Pb-Sb,5435,29,1,0.0933869625520111,0.39214,0.00253,0.49785,0.29353,0.49785,0.49785,0.49785,Pb-Sb
5435_20220623.112423_CA1,base,Pb-Sb,5435,29,1,0.0452430372294372,0.25147,0.02136,0.49496,0.58117,1.0,1.0,0.49496,Pb-Sb
5435_20220623.112423_CA2,base,Pb-Sb,5435,29,1,0.0208562274422825,0.21377,0.01798,0.497,0.4041,1.0,1.0,0.497,Pb-Sb
5435_20220623.112423_CA3,base,Pb-Sb,5435,29,1,0.0082657855635289,0.33994,0.59367,0.59367,0.69393,0.59367,0.59367,0.59367,Pb-Sb
5436_20200218.145045_CA4,base,Sb-Y,5436,29,1,0.14538661393597,0.83635,0.78544,0.97464,0.7062,0.97464,0.97464,0.97464,Sb-Y
5436_20220623.173226_CA1,base,Sb-Y,5436,29,1,0.0034891774891774,0.35548,0.09487,0.34359,1.0,0.34359,0.34359,0.34359,Sb-Y
5436_20220623.173226_CA2,base,Sb-Y,5436,29,1,0.0007604929125919,0.30913,0.35617,0.42466,0.0274,0.12329,0.12329,0.12329,Sb-Y
5436_20220623.173226_CA3,base,Sb-Y,5436,29,1,0.0014176173068805,0.4936,1.0,0.78461,0.0,0.78461,0.78461,0.78461,Sb-Y
5436_20220623.173226_CA4,base,Sb-Y,5436,29,1,0.004003228410008,0.34015,0.02083,0.34375,0.54167,0.02083,0.02083,0.02083,Sb-Y
5439_20200325.131306_CA1,base,Mg-Sb,5439,30,1,0.0867103279801748,0.36212,0.00906,0.00906,1.0,1.0,0.00914,0.00906,Mg-Sb
5439_20200325.131306_CA2,base,Mg-Sb,5439,30,1,0.0066842239467849,0.29616,0.02253,0.03248,0.82999,0.82999,0.03248,0.03248,Mg-Sb
5440_20200218.144829_CA1,base,Co-Sb,5440,28,1,0.0447665945165945,0.5299,0.08477,1.0,0.14073,0.9273,1.0,1.0,Co-Sb
5440_20200218.162947_CA3,base,Co-Sb,5440,30,1,0.0244312676837725,0.46404,0.48064,0.80015,0.16425,0.80015,0.80015,0.80015,Co-Sb
5445_20220623.175015_CA3,base,Al-Sb,5445,21,1,0.0176438809624314,0.42481,0.03337,0.03214,0.03337,0.81335,0.81335,1.0,Al-Sb
5717_20200218.145716_CA3,base,Fe-Sb,5717,29,1,0.355462442514052,0.35969,0.59557,0.59557,0.01245,0.59557,0.59557,0.59557,Fe-Sb
5717_20200218.161211_CA2,base,Fe-Sb,5717,30,1,0.543864835164835,0.42513,0.6784,0.6784,0.01802,0.6784,0.6784,0.6784,Fe-Sb
5929_20220623.1809_CA1,base,La-Sb,5929,29,1,0.0311341991341991,0.12641,0.0,0.0,0.0,0.01092,0.01092,0.06092,La-Sb
5930_20200325.131034_CA1,base,Mg-Sb,5930,27,1,0.017815971285199,0.45623,0.969,0.02046,0.969,0.82309,0.02046,0.02046,Mg-Sb
5930_20200325.131034_CA2,base,Mg-Sb,5930,27,1,0.0013354545454545,0.3573,0.7973,0.32826,0.31961,0.7973,0.32826,0.32826,Mg-Sb
P2783_20170802.120418_387nm,pool,Bi-Cu-V,2783,188,3,7.09008e-05,0.33924,0.77601,0.04666,0.76299,0.43894,0.00137,0.43894,Ni-V
P2783_20170802.120418_455nm,pool,Bi-Cu-V,2783,188,3,8.17229e-05,0.28641,0.77464,0.04985,0.60694,0.31137,0.0074,0.31137,Ni-V
P2783_20170802.120418_516nm,pool,Bi-Cu-V,2783,188,3,2.88542e-06,0.36842,0.73603,0.10209,0.52881,0.5805,0.00996,0.5805,Ni-V
P2783_20170802.120418_602nm,pool,Bi-Cu-V,2783,188,3,1.01125e-06,0.19799,0.24722,0.07787,0.17347,0.20396,0.16358,0.20396,Ni-V
P3046_20160610.142512_385nm,pool,Ba-Mn,3046,29,1,3.64042e-06,0.63326,0.84022,0.02667,0.80897,0.02667,0.02667,0.02667,Ba-Mn
P3046_20170421.180200_385nm,pool,Ba-Mn,3046,33,1,0.000142193,0.13383,0.38407,0.01082,0.01891,0.00216,0.00216,0.01082,Ba-Mn
P3050_20160613.162428_385nm,pool,Ca-Mn,3050,27,1,1.88e-06,0.45338,0.15403,0.5656,0.92531,0.09242,0.09242,0.5656,Ca-Mn
P3050_20170421.174859_385nm,pool,Ca-Mn,3050,28,1,1.72958e-06,0.42687,0.91858,0.10142,0.91858,0.10142,0.10142,0.10142,Ca-Mn
P3051_20160610.163705_385nm,pool,Mn-Sr,3051,29,1,4.26417e-06,0.34856,0.0173,1.0,1.0,0.00254,0.00254,0.87659,Mn-Sr
P3051_20170427.113107_385nm,pool,Mn-Sr,3051,28,1,3.0975e-06,0.59168,0.72855,0.72195,0.6746,0.72195,0.72195,0.72195,Mn-Sr
P3059_20160613.123458_385nm,pool,Mg-Mn,3059,29,1,3.625e-08,0.28699,1.0,0.21839,0.0,0.22988,0.22988,0.21839,Mg-Mn
P3059_20170427.114426_385nm,pool,Mg-Mn,3059,28,1,2.04333e-06,0.86361,0.76448,0.99082,0.70677,0.99082,0.99082,0.99082,Mg-Mn
P3059_20170503.135031_385nm,pool,Mg-Mn,3059,28,1,2.74167e-06,0.1114,0.0003,0.0038,0.00319,0.0038,0.0038,0.0038,Mg-Mn
P3059_20170505.103904_385nm,pool,Mg-Mn,3059,28,1,5.7005e-05,0.1089,0.00117,0.00117,0.00022,0.00117,0.00117,0.00117,Mg-Mn
P3067_20160711.160613_385nm,pool,Mn-Y,3067,26,1,5.75833e-07,0.36992,0.48408,0.39942,1.0,0.09479,0.09479,0.08032,Mn-Y
P3071_20171207.112942_385nm,pool,Ge-Mn,3071,28,1,2.57917e-07,0.71144,0.52827,0.99031,0.57027,0.95315,0.95315,0.95315,Ge-Mn
P3072_20160818.173325_385nm,pool,Mn-Sb,3072,30,1,1.10417e-07,0.72013,0.30189,0.75245,0.9132,0.30189,0.86792,0.75245,Mn-Sb
P3072_20160909.143914_385nm,pool,Mn-Sb,3072,29,1,3.05833e-07,0.57781,0.26022,0.67439,0.32324,0.66621,0.72616,0.67439,Mn-Sb
P3102_20170824.101709_387nm,pool,Cr-Fe-V,3102,201,3,1.07237e-05,0.22891,0.15604,0.23783,0.19777,0.23783,0.23783,0.23783,Ni-V
P3102_20170824.101709_455nm,pool,Cr-Fe-V,3102,201,3,4.61792e-06,0.29989,0.22178,0.07471,0.11585,0.07471,0.07471,0.07471,Ni-V
P3102_20170824.101709_516nm,pool,Cr-Fe-V,3102,201,3,1.35958e-06,0.36602,0.30585,0.02115,0.04382,0.02115,0.02115,0.02115,Ni-V
P3102_20170824.101709_602nm,pool,Cr-Fe-V,3102,201,3,4.62917e-07,0.48604,0.45455,0.0099,0.39514,0.0099,0.0099,0.0099,Ni-V
P3106_20171005.104558_387nm,pool,Fe-Ni-V,3106,201,3,2.78542e-06,0.29133,1.0,0.2184,0.10755,0.49813,0.49813,0.2184,Ni-V
P3106_20171005.104558_455nm,pool,Fe-Ni-V,3106,200,3,1.38917e-06,0.3447,1.0,0.28374,0.06059,0.28374,0.28374,0.28374,Ni-V
P3106_20171005.104558_516nm,pool,Fe-Ni-V,3106,200,3,4.50833e-07,0.33594,0.66081,0.28651,0.02033,0.07116,0.28651,0.28651,Ni-V
P3108_20170802.114808_387nm,pool,Ca-Fe-Mn,3108,183,3,1.30833e-07,0.2982,0.32484,0.32484,0.24841,0.10191,0.10191,0.32484,Ca-Mn
P3108_20170802.114808_455nm,pool,Ca-Fe-Mn,3108,183,3,1.5875e-07,0.20712,0.24409,0.10499,0.39895,0.51444,0.51444,0.10499,Ca-Mn
P3108_20170802.114808_516nm,pool,Ca-Fe-Mn,3108,183,3,1.33333e-07,0.24631,0.04688,0.05,0.09062,0.25625,0.25625,0.05,Ca-Mn
P3112_20170621.173337_385nm,pool,Mn-Y,3112,27,1,1.425e-07,0.35687,0.07602,0.40936,1.0,0.40936,0.40936,0.40936,Mn-Y
