episode_id,source,chem,plate,n_cand,dims,max_merit,chance,cls_gp,cls_xrd,fm_prior,fm_xrd,fm_xrd_nogap,fm_xrd_nomace,cluster
2298_20200218.144149_CA3,base,Co-Sb,2298,30,1,0.0368906542845082,0.40737,1.0,0.98641,0.11824,0.09104,0.98641,0.11499,Co-Sb
2298_20200218.144149_CA4,base,Co-Sb,2298,30,1,0.0239901059958867,0.51339,0.60648,1.0,0.80664,0.51704,1.0,0.19421,Co-Sb
2298_20200218.162149_CA1,base,Co-Sb,2298,29,1,0.0910070393593848,0.66602,0.84564,0.84564,0.57543,0.76367,0.84564,0.84564,Co-Sb
2298_20200218.162149_CA2,base,Co-Sb,2298,29,1,0.0591694013303769,0.46816,0.92763,0.92763,0.70771,0.27621,0.92763,0.92763,Co-Sb
2298_20200218.162149_CA3,base,Co-Sb,2298,29,1,0.0332024188626907,0.42391,0.87655,0.87655,0.81755,0.02129,0.87655,0.87655,Co-Sb
2298_20200218.162149_CA4,base,Co-Sb,2298,29,1,0.0137092179104478,0.36702,0.48375,0.48375,0.355,0.04625,0.48375,0.48375,Co-Sb
2298_20200302.142742_CA1,base,Co-Sb,2298,30,1,0.243348121212121,0.49596,1.0,0.94044,0.82169,0.20724,0.94044,1.0,Co-Sb
2298_20200302.142742_CA2,base,Co-Sb,2298,30,1,0.144285794939006,0.39623,0.99639,1.0,0.04477,0.05523,1.0,0.99639,Co-Sb
2298_20200302.142742_CA3,base,Co-Sb,2298,30,1,0.0785141409877585,0.43967,1.0,0.91806,0.69861,0.04625,0.91806,0.91806,Co-Sb
2298_20200302.142742_CA4,base,Co-Sb,2298,30,1,0.464332962066182,0.16839,0.15043,0.02254,0.09879,0.0247,0.15896,0.15896,Co-Sb
2300_20200218.144726_CA1,base,Sb-Zn,2300,28,1,0.342843359307359,0.49429,0.27105,0.22806,1.0,0.22806,0.22806,0.22806,Sb-Zn
2300_20200218.144726_CA2,base,Sb-Zn,2300,28,1,0.223401270289344,0.12527,0.02458,0.02952,0.02189,1.0,1.0,1.0,Sb-Zn
2300_20200218.144726_CA3,base,Sb-Zn,2300,28,1,0.0049071338117349,0.47772,0.21333,0.44222,0.37333,1.0,1.0,1.0,Sb-Zn
2300_20200218.144726_CA4,base,Sb-Zn,2300,28,1,0.0107378095238095,0.35947,0.11456,0.32039,0.59418,0.33204,0.33204,0.33204,Sb-Zn
2300_20200218.162234_CA1,base,Sb-Zn,2300,29,1,0.196266899489377,0.74813,0.50859,0.50859,0.76963,0.50859,0.50859,0.50859,Sb-Zn
2300_20200218.162234_CA2,base,Sb-Zn,2300,29,1,0.0100637472283814,0.8346,0.84504,0.84504,0.68668,0.84504,0.84504,0.84504,Sb-Zn
2300_20200218.162234_CA3,base,Sb-Zn,2300,29,1,0.0049492911696717,0.61191,0.67761,0.67761,0.55405,0.67761,0.67761,0.67761,Sb-Zn
2300_20200218.162234_CA4,base,Sb-Zn,2300,29,1,0.0034615741293532,0.42949,1.0,0.62871,0.30693,0.62871,0.62871,0.62871,Sb-Zn
3519_20200218.150107_CA1,base,In-Sb,3519,28,1,0.111761038961039,0.77103,0.6589,1.0,0.72302,1.0,1.0,1.0,In-Sb
3519_20200218.150107_CA2,base,In-Sb,3519,28,1,0.295794818026011,0.21106,0.45692,0.45692,0.0734,0.45692,0.45692,0.45692,In-Sb
3519_20200218.150107_CA3,base,In-Sb,3519,28,1,0.0431937695230055,0.33328,0.21106,0.18808,0.26786,0.18808,0.18808,0.18808,In-Sb
3519_20200218.16241_CA1,base,In-Sb,3519,29,1,0.255592595532273,0.71477,0.48909,0.88922,0.71983,0.88922,0.88922,0.88922,In-Sb
3519_20200218.16241_CA2,base,In-Sb,3519,29,1,0.0251848115299335,0.83544,0.89178,0.53925,0.95249,0.53925,0.53925,0.53925,In-Sb
3519_20200218.16241_CA3,base,In-Sb,3519,29,1,0.0089813607027276,0.77021,0.76489,0.51809,0.98936,0.51809,0.51809,0.51809,In-Sb
3531_20200218.145313_CA1,base,Bi-Sb,3531,29,1,0.0059087878787878,0.72584,1.0,0.38428,0.87917,0.87917,0.87917,0.38428,Bi-Sb
3531_20200218.145313_CA2,base,Bi-Sb,3531,29,1,0.0007537222300635,0.73386,0.84312,0.68901,0.85902,0.81479,0.85902,0.68901,Bi-Sb
3531_20200218.145313_CA3,base,Bi-Sb,3531,29,1,0.000246447252005,0.69429,0.76106,0.66814,1.0,0.66814,1.0,0.66814,Bi-Sb
3531_20200218.145313_CA4,base,Bi-Sb,3531,29,1,0.0003739519063439,0.49005,0.71585,0.62295,0.71585,0.62295,0.62295,0.62295,Bi-Sb
3531_20200218.162319_CA1,base,Bi-Sb,3531,30,1,0.0037896489139349,0.76681,0.85398,0.81701,1.0,0.85398,0.85398,0.81701,Bi-Sb
3531_20200218.162319_CA2,base,Bi-Sb,3531,30,1,0.0031568736141906,0.17602,0.06456,0.11121,0.08428,0.11121,0.11121,0.11121,Bi-Sb
3531_20200218.162319_CA3,base,Bi-Sb,3531,30,1,0.0003057474248728,0.45703,1.0,1.0,0.28438,1.0,1.0,1.0,Bi-Sb
3531_20200218.162319_CA4,base,Bi-Sb,3531,30,1,0.0006501609950248,0.3254,0.24776,0.61379,0.10807,0.35582,0.35582,0.61379,Bi-Sb
4014_20200218.15024_CA2,base,Ag-Sb,4014,30,1,0.937594515576167,0.55485,0.45056,0.95167,0.95167,0.45056,0.45056,0.45056,Ag-Sb
4014_20200218.15024_CA3,base,Ag-Sb,4014,30,1,0.18319966230477,0.48463,0.69524,0.51786,0.67857,0.41847,0.41847,0.41847,Ag-Sb
4014_20200218.15024_CA4,base,Ag-Sb,4014,30,1,0.264797046004843,0.34943,0.15511,0.3622,0.44094,0.29291,0.29291,0.29291,Ag-Sb
4014_20200218.161037_CA2,base,Ag-Sb,4014,27,1,0.371703296703297,0.66837,0.4341,0.4341,0.99236,0.4341,0.4341,0.4341,Ag-Sb
